Asset,n,Regime,Average Return,Volatility,Sharpe Ratio,Max Drawdown
S&P 500_asset,3,3,-0.021668111806901345,0.05227262752260198,-0.41452119079976124,-0.9974975695289229
S&P 500_asset,3,4,-0.022101366785951794,0.05921319821153869,-0.37325068487256563,-0.996192920164508
Gold,6,1,0.010826437300486507,0.05775462880668831,0.18745575071954657,-0.49059689933746325
Gold,6,2,0.004150860086625585,0.04816698451100318,0.08617645735487905,-0.5236881390905341
Gold,6,3,0.009392473282307226,0.0690460413475004,0.13603203165603717,-0.49264415672502027
Gold,6,4,0.008257878461348471,0.05181916667315563,0.15935953801484767,-0.33118143861110627
Bonds,6,1,0.003465680054958302,0.017119783377914973,0.2024371441188404,-0.11364796848785463
Bonds,6,2,0.008447000171182764,0.017990954232493497,0.46951373796097046,-0.1013648004579446
Bonds,6,3,0.003243711801198623,0.016988345027695178,0.19093748072049252,-0.1339898620574473
Bonds,6,4,0.003666047346859793,0.025721100713309807,0.14253073333532482,-0.08225891752533558
S&P 500_asset,6,1,0.016624368022160187,0.040987591346690784,0.4055951441875198,-0.19206492335437322
S&P 500_asset,6,2,0.01892454380502759,0.03984422543735008,0.47496327503678054,-0.1704410011918952
S&P 500_asset,6,3,-0.016737179367922468,0.0601202226738608,-0.2783951659447112,-0.9919893084986496
S&P 500_asset,6,4,-0.015643635540928878,0.06641123507920858,-0.2355570638352191,-0.9725358886725523
Gold,9,1,0.01244666654692042,0.05932490741343022,0.20980507327522088,-0.3999205685670816
Gold,9,2,0.002342729359046252,0.04735856932082656,0.04946790818733634,-0.5985137867910605
Gold,9,3,0.006441539610539097,0.06633268478175838,0.097109586800722,-0.3501961923308625
Gold,9,4,0.013932695141338953,0.05599710364404648,0.24881099618837613,-0.2762573638576109
Bonds,9,1,0.004144729135132127,0.01685934097000039,0.24584170534941324,-0.11364796848785462
Bonds,9,2,0.007341429228280751,0.017143733741944035,0.428228140893202,-0.09590900295228418
Bonds,9,3,0.0014684437238934984,0.018782782482814234,0.07818030822840476,-0.15413274943509941
Bonds,9,4,0.006896211345105633,0.02744879206979274,0.25123915571843614,-0.09032638999820614
S&P 500_asset,9,1,0.014177703759719499,0.04175837726901231,0.33951759352105776,-0.2220612013132013
S&P 500_asset,9,2,0.016251885163223283,0.03561967952962601,0.45626140880088706,-0.15571861991109862
S&P 500_asset,9,3,-0.014368179337680427,0.05752599240972031,-0.24976847396817095,-0.9796436264539556
S&P 500_asset,9,4,-0.010711620447994992,0.08043060409808366,-0.13317841595386212,-0.9364468118404163
Gold,12,1,0.015191088361730203,0.060199539156000494,0.25234559225385705,-0.24663173652694606
Gold,12,2,0.0020480088437528216,0.045763797238044635,0.04475172444934833,-0.5644603392299187
Gold,12,3,0.0035848826439293393,0.06892104099591893,0.05201434267572385,-0.4924358776748811
Gold,12,4,0.010418324809960237,0.05247441008226926,0.19854105636683503,-0.32120929148792593
Bonds,12,1,0.003798350505142158,0.01709037654577315,0.2222508377723005,-0.1146691954190676
Bonds,12,2,0.0068448773953744355,0.01724546241294643,0.3969088929871711,-0.11543664169792552
Bonds,12,3,0.002341095897389964,0.021320009408535488,0.10980745141944936,-0.21275778916743196
Bonds,12,4,0.008913748349169437,0.024789088061318944,0.3595835525340889,-0.07455632544248698
S&P 500_asset,12,1,0.01190564607778442,0.045992168989715636,0.25886246157354864,-0.2384105960264901
S&P 500_asset,12,2,0.014476531654795791,0.0355684717242596,0.40700460135097744,-0.18829992229547673
S&P 500_asset,12,3,-0.011468145744478093,0.05390742121715768,-0.2127377916721419,-0.9595694728506946
S&P 500_asset,12,4,-0.005420050326333649,0.08299198866807475,-0.06530811483516875,-0.8328193292209837
Gold,18,1,0.01009625022005769,0.056833919086535095,0.17764480054041637,-0.3897500982340594
Gold,18,2,0.005634232743449787,0.0477197514379211,0.11806919721238265,-0.3753363417840786
Gold,18,3,0.0036475047073703847,0.07000601760523535,0.05210273105290321,-0.5464147953518554
Gold,18,4,0.014858860975782776,0.06281085034495422,0.23656519365967207,-0.30297832817337483
Bonds,18,1,0.004255838946044826,0.01778987182182931,0.23922819617073574,-0.14860151605065441
Bonds,18,2,0.006255413010384799,0.017532576661289354,0.35678800276951267,-0.1564580749256879
Bonds,18,3,0.0018883372165344157,0.021421057277935838,0.08815331531181912,-0.22624964325802235
Bonds,18,4,0.01027315533210086,0.022898163844663533,0.44864537618788336,-0.07613822965943859
S&P 500_asset,18,1,0.008766819697621355,0.04523999494230943,0.19378471878259285,-0.3402712078208767
S&P 500_asset,18,2,0.013785617595328497,0.036623163967525754,0.3764179852825492,-0.1757929588664783
S&P 500_asset,18,3,-0.005779976422132785,0.05641498593834501,-0.10245462842886507,-0.8393689620351122
S&P 500_asset,18,4,-0.007984276101854537,0.08760858841072627,-0.09113576929721413,-0.8825372134458405
Gold,24,1,0.007678315085270171,0.05869743369516791,0.13081176811146114,-0.4543561989311877
Gold,24,2,0.004269052455547702,0.04901953933605376,0.0870887918036354,-0.5765635591984846
