DateTime,Total Return Bond Index
01.07.1901 00:00,
01.08.1901 00:00,
01.09.1901 00:00,
01.10.1901 00:00,
01.11.1901 00:00,
01.12.1901 00:00,
01.01.1902 00:00,8.9581946
01.02.1902 00:00,
01.03.1902 00:00,
01.04.1902 00:00,
01.05.1902 00:00,
01.06.1902 00:00,
01.07.1902 00:00,
01.08.1902 00:00,
01.09.1902 00:00,
01.10.1902 00:00,
01.11.1902 00:00,
01.12.1902 00:00,
01.01.1903 00:00,9.1375866
01.02.1903 00:00,
01.03.1903 00:00,
01.04.1903 00:00,
01.05.1903 00:00,
01.06.1903 00:00,
01.07.1903 00:00,
01.08.1903 00:00,
01.09.1903 00:00,
01.10.1903 00:00,
01.11.1903 00:00,
01.12.1903 00:00,
01.01.1904 00:00,9.2153973
01.02.1904 00:00,
01.03.1904 00:00,
01.04.1904 00:00,
01.05.1904 00:00,
01.06.1904 00:00,
01.07.1904 00:00,
01.08.1904 00:00,
01.09.1904 00:00,
01.10.1904 00:00,
01.11.1904 00:00,
01.12.1904 00:00,
01.01.1905 00:00,10.3286565
01.02.1905 00:00,
01.03.1905 00:00,
01.04.1905 00:00,
01.05.1905 00:00,
01.06.1905 00:00,
01.07.1905 00:00,
01.08.1905 00:00,
01.09.1905 00:00,
01.10.1905 00:00,
01.11.1905 00:00,
01.12.1905 00:00,
01.01.1906 00:00,10.7459145
01.02.1906 00:00,
01.03.1906 00:00,
01.04.1906 00:00,
01.05.1906 00:00,
01.06.1906 00:00,
01.07.1906 00:00,
01.08.1906 00:00,
01.09.1906 00:00,
01.10.1906 00:00,
01.11.1906 00:00,
01.12.1906 00:00,
01.01.1907 00:00,10.8121183
01.02.1907 00:00,
01.03.1907 00:00,
01.04.1907 00:00,
01.05.1907 00:00,
01.06.1907 00:00,
01.07.1907 00:00,
01.08.1907 00:00,
01.09.1907 00:00,
01.10.1907 00:00,
01.11.1907 00:00,
01.12.1907 00:00,
01.01.1908 00:00,10.3881626
01.02.1908 00:00,
01.03.1908 00:00,
01.04.1908 00:00,
01.05.1908 00:00,
01.06.1908 00:00,
01.07.1908 00:00,
01.08.1908 00:00,
01.09.1908 00:00,
01.10.1908 00:00,
01.11.1908 00:00,
01.12.1908 00:00,
01.01.1909 00:00,11.6692533
01.02.1909 00:00,
01.03.1909 00:00,
01.04.1909 00:00,
01.05.1909 00:00,
01.06.1909 00:00,
01.07.1909 00:00,
01.08.1909 00:00,
01.09.1909 00:00,
01.10.1909 00:00,
01.11.1909 00:00,
01.12.1909 00:00,
01.01.1910 00:00,12.0693352
01.02.1910 00:00,
01.03.1910 00:00,
01.04.1910 00:00,
01.05.1910 00:00,
01.06.1910 00:00,
01.07.1910 00:00,
01.08.1910 00:00,
01.09.1910 00:00,
01.10.1910 00:00,
01.11.1910 00:00,
01.12.1910 00:00,
01.01.1911 00:00,12.4431796
01.02.1911 00:00,
01.03.1911 00:00,
01.04.1911 00:00,
01.05.1911 00:00,
01.06.1911 00:00,
01.07.1911 00:00,
01.08.1911 00:00,
01.09.1911 00:00,
01.10.1911 00:00,
01.11.1911 00:00,
01.12.1911 00:00,
01.01.1912 00:00,12.9804586
01.02.1912 00:00,
01.03.1912 00:00,
01.04.1912 00:00,
01.05.1912 00:00,
01.06.1912 00:00,
01.07.1912 00:00,
01.08.1912 00:00,
01.09.1912 00:00,
01.10.1912 00:00,
01.11.1912 00:00,
01.12.1912 00:00,
01.01.1913 00:00,13.327746
01.02.1913 00:00,
01.03.1913 00:00,
01.04.1913 00:00,
01.05.1913 00:00,
01.06.1913 00:00,
01.07.1913 00:00,
01.08.1913 00:00,
01.09.1913 00:00,
01.10.1913 00:00,
01.11.1913 00:00,
01.12.1913 00:00,
01.01.1914 00:00,13.4610148
01.02.1914 00:00,
01.03.1914 00:00,
01.04.1914 00:00,
01.05.1914 00:00,
01.06.1914 00:00,
01.07.1914 00:00,
01.08.1914 00:00,
01.09.1914 00:00,
01.10.1914 00:00,
01.11.1914 00:00,
01.12.1914 00:00,
01.01.1915 00:00,13.6526006
01.02.1915 00:00,
01.03.1915 00:00,
01.04.1915 00:00,
01.05.1915 00:00,
01.06.1915 00:00,
01.07.1915 00:00,
01.08.1915 00:00,
01.09.1915 00:00,
01.10.1915 00:00,
01.11.1915 00:00,
01.12.1915 00:00,
01.01.1916 00:00,14.7077636
01.02.1916 00:00,
01.03.1916 00:00,
01.04.1916 00:00,
01.05.1916 00:00,
01.06.1916 00:00,
01.07.1916 00:00,
01.08.1916 00:00,
01.09.1916 00:00,
01.10.1916 00:00,
01.11.1916 00:00,
01.12.1916 00:00,
01.01.1917 00:00,15.5838688
01.02.1917 00:00,
01.03.1917 00:00,
01.04.1917 00:00,
01.05.1917 00:00,
01.06.1917 00:00,
01.07.1917 00:00,
01.08.1917 00:00,
01.09.1917 00:00,
01.10.1917 00:00,
01.11.1917 00:00,
01.12.1917 00:00,
01.01.1918 00:00,14.1047531
01.02.1918 00:00,
01.03.1918 00:00,
01.04.1918 00:00,
01.05.1918 00:00,
01.06.1918 00:00,
01.07.1918 00:00,
01.08.1918 00:00,
01.09.1918 00:00,
01.10.1918 00:00,
01.11.1918 00:00,
01.12.1918 00:00,
01.01.1919 00:00,15.2222852
01.02.1919 00:00,
01.03.1919 00:00,
01.04.1919 00:00,
01.05.1919 00:00,
01.06.1919 00:00,
01.07.1919 00:00,
01.08.1919 00:00,
01.09.1919 00:00,
01.10.1919 00:00,
01.11.1919 00:00,
01.12.1919 00:00,
01.01.1920 00:00,14.8394487
01.02.1920 00:00,
01.03.1920 00:00,
01.04.1920 00:00,
01.05.1920 00:00,
01.06.1920 00:00,
01.07.1920 00:00,
01.08.1920 00:00,
01.09.1920 00:00,
01.10.1920 00:00,
01.11.1920 00:00,
01.12.1920 00:00,
01.01.1921 00:00,15.5303382
01.02.1921 00:00,
01.03.1921 00:00,
01.04.1921 00:00,
01.05.1921 00:00,
01.06.1921 00:00,
01.07.1921 00:00,
01.08.1921 00:00,
01.09.1921 00:00,
01.10.1921 00:00,
01.11.1921 00:00,
01.12.1921 00:00,
01.01.1922 00:00,18.0729014
01.02.1922 00:00,
01.03.1922 00:00,
01.04.1922 00:00,
01.05.1922 00:00,
01.06.1922 00:00,
01.07.1922 00:00,
01.08.1922 00:00,
01.09.1922 00:00,
01.10.1922 00:00,
01.11.1922 00:00,
01.12.1922 00:00,
01.01.1923 00:00,19.5461055
01.02.1923 00:00,
01.03.1923 00:00,
01.04.1923 00:00,
01.05.1923 00:00,
01.06.1923 00:00,
01.07.1923 00:00,
01.08.1923 00:00,
01.09.1923 00:00,
01.10.1923 00:00,
01.11.1923 00:00,
01.12.1923 00:00,
01.01.1924 00:00,20.3150851
01.02.1924 00:00,
01.03.1924 00:00,
01.04.1924 00:00,
01.05.1924 00:00,
01.06.1924 00:00,
01.07.1924 00:00,
01.08.1924 00:00,
01.09.1924 00:00,
01.10.1924 00:00,
01.11.1924 00:00,
01.12.1924 00:00,
01.01.1925 00:00,22.0309412
01.02.1925 00:00,
01.03.1925 00:00,
01.04.1925 00:00,
